q1,q2,q3,q4,q5,q6,q7,x,y,z
-47,7,-41,37,174,56,12,-0.795,0.178,0.813
49,-104,-50,121,-1,-72,-15,-0.483,-0.173,-0.154
-100,-56,-152,149,-124,54,-26,0.165,0.205,0.876
27,-77,153,129,41,36,-139,-0.08,0.032,0.567
-121,-109,66,92,-114,-15,-157,0.089,0.074,0.04
-43,44,-69,112,42,65,63,0.181,-0.275,0.64
-125,-62,-127,10,-131,38,46,-0.337,0.168,0.59
-27,-110,-15,103,-96,14,123,-0.445,-0.549,-0.032
-66,-33,-56,6,162,-80,-50,0.484,0.47,0.614
-58,-11,-167,23,46,-36,-32,-0.27,-0.137,0.048
50,-113,132,56,-92,82,-74,-0.133,0.053,1.195
-35,-90,165,101,31,-21,-155,0.673,0.18,0.211
-135,-113,86,124,-16,-21,-128,-0.266,-0.249,0.823
7,15,-98,141,5,5,93,0.027,0.467,0.086
-72,-53,-155,128,-135,-78,86,-0.046,-0.086,0.042
-51,-53,-60,90,24,94,80,0.266,-0.203,-0.426
-65,-105,107,98,38,97,-34,-0.54,-0.107,0.477
-72,-17,15,112,162,57,-20,-0.71,0.462,-0.092
-11,-33,122,132,-170,100,171,0.425,-0.805,0.471
-95,-49,-24,87,-19,42,72,-0.093,-0.569,0.459
-13,-5,-118,88,-17,34,-26,0.649,-0.166,0.57
33,4,68,78,113,15,-64,0.435,0.121,0.058
-102,-76,-46,33,-128,-72,-139,-0.401,0.053,0.649
-81,45,168,21,-110,39,168,0.358,-0.398,0.761
-27,27,-156,122,67,1,105,-0.35,-0.094,-0.34
-48,-25,81,28,-161,-90,-114,0.252,-0.058,0.442
-90,30,21,132,-81,39,-155,0.185,0.824,0.232
-32,-22,-164,64,-78,-4,8,-0.467,-0.422,-0.112
-45,-24,51,41,152,-27,-129,-0.245,-0.563,0.315
16,5,-73,1,37,-44,-103,0.866,0.218,0.184
-46,27,119,9,-44,24,38,-0.538,0.321,0.311
-11,4,-136,66,-57,40,-75,0.019,-0.479,0.217
-86,55,-19,74,104,8,17,0.395,0.086,0.051
-21,1,40,4,104,-54,24,-0.085,-0.176,0.204
-35,-85,-50,33,71,-82,62,0.71,0.252,-0.003
-51,-33,-37,38,-128,25,78,-0.782,0.466,0.564
-70,-62,-116,67,88,-78,-99,0.437,-0.082,0.561
12,17,-59,144,61,93,-154,-0.737,0.122,0.52
-13,-77,-150,31,18,91,-148,-0.413,-0.197,0.516
-92,-9,71,10,-110,39,157,0.01,-0.305,0.327
-98,29,69,51,-127,-63,139,0.939,0.002,0.251
-74,-37,144,135,141,76,-159,0.458,-0.185,0.275
2,-10,-81,96,-162,21,-108,0.12,-0.101,-0.072
0,59,17,27,121,80,20,0.615,-0.202,0.509
-2,-51,133,39,-83,33,134,0.15,-0.045,1.056
-13,-77,103,2,3,-74,32,-0.456,0.188,-0.213
-74,-95,95,149,57,-47,-92,0.179,-0.143,0.792
-73,-83,126,48,-147,20,163,0.137,0.453,0.508
-102,-61,32,72,56,-75,92,-0.499,0.129,0.117
9,54,94,88,-36,71,113,0.644,0.075,-0.086
43,4,7,42,-16,102,-144,-0.118,-0.332,0.446
25,-65,-79,42,-104,3,-74,-0.166,-0.166,0.419
-12,19,7,146,66,6,121,0.577,0.588,0.657
-69,-47,28,127,16,27,-20,0.404,-0.54,-0.225
-137,-57,62,128,-13,78,-71,0.273,-0.297,0.605
-117,-18,-100,101,6,50,-157,-0.617,0.707,0.796
-1,50,-25,136,-36,-22,115,-0.204,0.153,0.641
-54,-70,55,33,55,-19,117,0.574,0.54,0.549
-39,-42,138,104,-129,-89,-93,-0.079,-0.21,0.734
-77,59,104,76,-68,-62,173,-0.613,-0.779,0.366
-6,-69,-66,140,130,109,-100,-0.211,0.108,0.953
