q1,q2,q3,q4,q5,q6,q7,x,y,z
10,-85,-168,17,93,80,55,-0.051,0.283,0.421
-130,-81,6,67,146,29,106,0.066,0.21,0.857
14,-64,-111,24,132,-84,-50,-0.081,-0.152,0.76
-95,-4,-88,91,6,-62,103,-0.262,-0.266,0.644
-140,52,73,34,99,9,139,-0.197,-0.458,0.664
-94,-92,-100,95,-121,93,97,0.644,-0.196,-0.371
-106,-37,-171,98,57,-36,9,-0.173,0.334,0.678
-97,-89,-126,10,-123,-9,85,0.194,0.178,0.231
-22,17,149,149,-173,89,-97,0.199,-0.188,-0.124
-128,-48,-32,118,14,-84,-119,-0.742,-0.094,0.245
45,-95,27,98,146,92,-123,0.04,0.034,0.843
-77,36,118,46,154,116,165,-0.331,0.05,0.571
-2,-54,98,8,-22,21,20,-0.662,-0.247,0.44
47,-95,8,98,-149,-84,134,-0.024,0.151,0.795
-132,-31,49,20,-17,59,-153,0.275,-0.441,0.52
-45,9,116,0,155,67,-31,-0.378,-0.641,0.133
-37,-9,169,98,-95,75,127,0.536,0.159,0.283
-31,7,-168,11,11,50,-89,0.599,-0.404,0.549
-129,-51,-134,81,-28,104,-105,0.072,-0.035,0.827
8,-92,118,142,-29,-76,112,-0.292,0.577,0.418
28,51,-92,61,-170,39,47,-0.632,0.464,0.517
31,44,-67,95,-5,-26,-106,0.264,0.346,1.113
-17,-41,33,108,2,98,87,0.051,-0.038,-0.211
-61,46,-114,7,129,-5,-67,0.452,0.843,0.073
-109,-42,67,81,-170,61,144,-0.404,-0.492,-0.028
-48,51,94,133,170,-62,-20,-0.063,0.896,0.398
-98,-10,149,85,83,2,62,-0.258,0.019,0.117
-48,58,70,61,26,19,13,0.353,0.457,0.678
17,32,-20,66,-56,-27,-78,-0.233,0.194,0.747
-113,-83,-26,128,167,56,-89,0.336,-0.492,0.429
-7,-108,-17,110,111,32,15,0.341,0.288,0.662
-104,37,-125,6,-45,-14,-5,0.601,0.027,0.73
-45,-71,39,45,-145,4,52,-0.568,0.39,0.232
-121,25,-37,113,75,98,100,-0.209,0.018,0.857
-85,-23,147,96,40,-27,105,-0.439,-0.141,-0.029
0,29,107,63,-13,92,-72,-0.221,-0.579,-0.008
-139,9,-125,87,109,117,-106,-0.127,-0.623,-0.142
-57,56,-41,57,-119,-42,79,-0.514,0.312,0.567
-115,3,-31,90,-88,-21,12,-0.408,0.411,-0.074
-76,-30,16,128,-35,-76,57,0.465,0.266,0.609
-54,-40,8,35,132,-47,-138,0.433,-0.135,0.267
-111,42,-71,58,-47,-42,-121,0.721,0.091,0.397
-117,-35,48,134,-34,46,-136,-0.023,0.749,0.372
-133,45,-38,30,156,-12,110,0.047,-0.266,1.074
-107,30,-142,40,21,-31,52,-0.276,0.407,-0.118
-8,-40,-133,37,-101,-62,-72,-0.584,0.55,-0.173
30,40,29,71,-8,-37,-132,0.014,-0.821,0.586
-52,-90,34,148,-163,17,-60,0.264,0.346,0.052
-102,-95,2,138,141,60,174,-0.137,0.474,0.595
45,-63,-146,70,-106,83,134,0.535,-0.273,0.796
24,-28,69,53,-162,-29,-33,-0.07,-0.164,0.36
17,40,-127,71,-141,16,-88,-0.43,0.091,0.311
-74,-42,10,50,119,-82,160,0.679,0.742,0.008
-4,0,90,27,79,54,-53,-0.15,-0.309,0.479
-24,-66,-42,84,161,85,-136,0.115,0.214,-0.133
-11,42,-14,78,-149,99,-170,0.439,0.129,-0.064
-24,54,-150,83,82,-23,134,-0.147,-0.451,0.324
29,-103,-140,8,-162,-56,-17,-0.717,0.319,0.393
10,-101,95,118,109,110,20,0.231,0.226,0.705
-126,-19,36,106,-4,101,-126,0.122,0.401,1.044
33,-114,96,58,-64,1,-5,-0.503,-0.335,0.802
17,0,14,35,25,84,158,-0.28,-0.291,0.715
-22,-4,-7,28,78,44,100,0.024,0.302,0.735
-96,-37,-58,9,51,-5,-44,0.063,0.255,0.424
-48,-73,165,2,89,-33,-75,0.067,0.276,-0.398
-83,-57,-101,59,-138,89,-19,-0.44,-0.256,0.286
-20,0,150,125,-141,36,-99,0.249,-0.075,1.047
-85,3,155,131,-173,84,-140,0.139,0.188,-0.168
8,-60,143,58,-56,114,46,0.579,0.344,0.639
-31,6,-126,138,-158,-52,-49,-0.359,-0.026,0.888
27,28,-109,115,113,-18,-42,-0.051,0.717,0.416
-34,43,25,72,84,-22,160,-0.07,0.072,0.317
-8,-40,-9,12,-93,57,35,-0.423,0.784,0.102
-103,-74,120,40,-61,65,112,-0.162,-0.081,0.003
-44,-4,63,109,88,110,103,0.156,-0.533,0.177
-61,56,114,74,22,27,104,0.389,0.036,0.422
-21,-99,-61,93,87,105,92,-0.502,0.101,0.285
15,-28,82,32,72,90,50,0.407,0.186,-0.337
-66,-83,125,96,-59,57,81,0.053,0.553,0.918
-53,-109,147,0,-165,56,12,0.232,0.871,-0.038
-37,6,-100,95,174,52,-62,0.078,-0.043,1.11
-33,-69,94,83,-170,17,-58,-0.135,-0.416,0.996
20,-16,-89,42,-49,90,-82,0.244,0.294,-0.18
6,-123,48,138,166,110,-90,0.017,-0.625,0.101
-78,37,-93,37,-84,-46,-38,0.29,0.441,0.629
-41,-57,-171,135,144,116,-81,0.338,0.202,0.561
-18,25,126,8,84,17,-127,0.455,0.231,0.516
42,49,151,77,-137,-64,2,-0.13,0.199,1.026
-98,-96,-25,-2,110,80,108,0.413,0.259,-0.017
-47,35,133,70,78,74,28,0.582,0.163,-0.122
41,43,-41,10,-119,-70,90,0.197,-0.473,0.343
22,-65,120,56,-144,-79,105,0.542,0.336,0.225
-48,-87,101,-1,-96,43,152,-0.117,0.258,1.039
-80,-122,84,18,-117,89,-152,0.697,-0.283,0.341
-37,-56,-138,98,84,116,-35,-0.004,-0.013,0.516
-51,-31,-69,112,150,-7,164,-0.203,0.067,0.993
-20,-122,68,25,27,97,-90,-0.585,0.166,0.164
-66,27,103,60,-14,9,-55,-0.474,-0.096,0.063
34,-117,-24,145,-35,35,-152,-0.31,0.333,-0.203
-90,0,-105,14,-43,-50,110,0.585,-0.398,0.773
-40,1,-153,147,-156,-76,-99,0.225,-0.024,0.898
-28,13,-168,112,-1,-58,165,-0.341,0.391,0.644
-100,-81,90,60,-100,105,46,0.432,0.455,0.292
-29,6,9,127,-52,98,-175,0.336,-0.228,0.731
-72,-84,-101,54,160,-51,-33,-0.454,0.306,0.012
-67,-101,49,11,-6,53,-25,0.222,-0.254,0.777
-53,-23,-166,29,5,4,27,-0.146,-0.204,0.265
-88,-83,-22,53,-82,101,112,-0.217,0.38,-0.032
-103,-11,128,77,-108,55,-47,-0.393,-0.643,0.607
-17,-45,-13,140,125,-12,-121,0.422,0.333,0.846
-49,24,56,18,-12,113,-58,-0.008,-0.844,0.393
-61,-49,-130,63,-38,-47,-139,0.005,0.679,0.347
-131,49,158,35,-128,35,5,0.037,0.041,0.343
-5,21,-124,88,-48,102,-49,0.641,0.662,0.289
-121,14,53,20,-115,-83,61,0.132,-0.556,0.897
-94,-56,-23,104,63,26,97,0.57,-0.006,0.127
-28,-69,53,68,107,118,121,-0.515,-0.271,0.704
-16,-8,114,105,95,39,80,0.36,0.573,0.281
-1,-109,-40,125,31,-31,-93,-0.77,0.378,-0.05
44,-93,-126,13,-91,77,-79,0.857,-0.136,0.594
-122,-34,-153,126,27,16,105,-0.374,0.468,0.113
-91,59,-44,55,-118,-54,-95,-0.603,0.232,0.069
-45,-55,-54,98,-63,89,-73,0.003,-0.469,-0.185
28,-32,150,135,-142,-19,-55,0.209,0.463,0.134
38,-92,38,117,-63,98,1,0.184,-0.42,0.244
-115,-107,148,55,-133,-42,140,0.382,-0.053,0.79
-99,-29,-124,103,-170,44,-106,-0.117,-0.063,-0.344
6,1,148,45,-9,-51,-77,0.141,-0.045,1.149
17,36,-84,38,85,60,94,-0.353,0.422,0.484
-103,-14,-82,64,-125,29,45,-0.052,0.504,0.63
-67,-10,114,145,163,-57,138,0.289,0.727,-0.412
-13,52,-40,127,-79,-43,88,0.278,-0.678,0.845
38,-2,-114,148,86,49,-121,0.287,-0.002,0.089
38,2,94,105,40,0,167,0.528,0.048,0.789
-105,16,-11,20,-160,48,43,0.014,-0.012,-0.298
-99,-41,66,87,-56,51,-143,0.714,-0.133,-0.272
-138,-64,-81,140,-104,42,-98,0.068,0.207,0.653
28,29,-61,12,118,18,6,0.509,0.685,0.155
-53,7,80,60,135,104,69,-0.095,-0.147,0.351
-22,55,-141,8,-68,116,-45,0.173,0.09,0.013
36,-95,-22,109,25,-16,113,0.262,0.329,0.494
-107,34,110,125,-21,62,-121,0.091,-0.807,-0.177
-44,-57,-139,110,79,98,-56,0.053,-0.059,0.287
-107,9,-14,87,48,-45,158,0.284,-0.425,-0.431
-78,-88,1,134,-24,-69,-16,-0.427,-0.618,0.509
-49,-47,-69,75,58,-57,-27,0.839,-0.172,-0.205
-84,-54,1,134,53,3,-95,-0.054,-0.075,-0.071
-58,50,66,1,9,-64,38,0.04,0.643,0.642
2,-61,122,90,28,-1,-114,-0.576,0.231,0.123
-1,27,-103,123,-153,82,-83,0.591,-0.106,0.207
37,-44,-8,105,-112,70,-167,0.37,0.393,0.67
24,-115,-138,49,26,-47,-149,-0.555,0.211,0.329
-47,-22,10,22,-112,55,170,-0.414,-0.029,-0.222
-114,-28,-52,100,167,-77,-18,-0.683,-0.104,-0.13
-41,26,-57,136,58,101,146,0.207,-0.11,0.732
5,56,-49,3,-39,58,37,0.188,-0.354,0.805
47,33,166,123,-82,110,-124,-0.559,0.011,0.159
-136,36,160,0,-13,35,-163,0.41,-0.352,0.396
31,55,-69,51,-103,47,-46,-0.536,0.178,0.414
48,1,31,11,-97,63,168,0.008,-0.106,1.011
-94,-104,-27,7,-10,-59,-34,0.39,-0.474,0.384
-34,45,75,144,135,107,127,-0.567,-0.336,1.028
44,-52,55,119,158,4,99,-0.431,-0.468,0.121
34,-123,-49,69,-161,-79,-69,-0.282,0.541,-0.076
-28,-103,-28,106,156,82,162,0.537,0.585,-0.122
47,55,-71,2,48,53,-81,0.28,0.497,0.421
-61,17,108,147,112,-24,51,-0.039,-0.372,0.765
-141,-70,95,28,14,-19,84,-0.452,-0.139,0.679
2,37,-156,6,71,-50,-149,0.413,-0.425,1.013
-81,-60,147,88,-148,19,130,0.796,-0.359,-0.298
-29,-86,-8,26,-120,53,173,-0.277,0.615,0.464
-37,-63,-42,149,34,-89,121,0.462,0.032,0.905
15,16,-21,66,61,99,-144,-0.277,0.142,0.254
-74,-12,35,140,89,115,-35,-0.134,-0.232,0.557
-8,8,94,1,89,86,-175,-0.687,-0.334,0.354
-84,-83,38,43,53,-33,40,0.243,0.703,0.51
-26,57,115,32,44,53,147,0.484,-0.212,0.671
34,-78,5,93,100,-42,-76,0.325,0.487,-0.187
-55,-38,-76,102,118,74,-93,0.215,0.44,0.929
7,-5,74,92,132,-77,-96,-0.026,0.122,0.729
-130,-4,-44,43,-109,-3,50,-0.058,0.483,0.29
-75,52,8,-1,163,60,-109,0.489,-0.193,0.092
28,7,-29,91,-148,-42,67,-0.134,-0.281,0.313
48,-81,163,45,-132,-81,149,-0.886,-0.15,0.539
-18,-85,60,148,90,1,-19,-0.16,0.258,0.098
-39,-61,-129,72,110,114,-53,0.554,-0.27,0.305
6,-20,116,107,125,-52,79,-0.543,-0.076,0.798
-57,-90,33,18,-34,112,89,-0.702,-0.446,0.181
14,28,-104,35,-169,97,103,0.269,-0.086,-0.122
-103,-8,30,22,-43,111,24,-0.141,0.446,-0.004
-132,-60,-104,109,43,72,-61,0.391,-0.246,-0.197
-120,-72,27,37,116,-60,-120,-0.214,-0.498,0.107
-21,-29,136,82,70,49,-2,-0.845,-0.378,0.022
42,13,122,38,-131,109,171,0.215,-0.075,0.943
-27,5,-164,41,121,10,-123,-0.215,0.34,0.205
-117,-33,-172,0,55,-39,-110,0.723,-0.155,0.65
-69,-83,-21,69,77,-5,60,-0.501,-0.419,0.824
-109,31,59,70,-133,-47,38,0.146,0.134,0.885
-19,57,163,129,135,-29,-157,0.125,-0.187,0.245
-26,-90,-56,53,-166,-42,-110,-0.184,0.358,0.581
46,-107,161,26,171,73,-170,0.207,-0.341,0.675
-36,-35,133,126,7,52,-68,0.259,0.244,-0.464
22,-78,112,102,-55,40,47,0.076,0.359,0.539
-93,-122,-8,112,-76,-57,-59,0.078,-0.321,-0.45
35,-110,149,5,-47,-54,131,-0.036,0.049,-0.1
-72,-45,-133,122,-137,-72,89,0.154,0.301,0.262
-79,59,-125,103,132,19,71,0.493,0.091,-0.005
-129,16,-74,44,-72,-60,-43,-0.015,0.515,-0.086
-139,36,53,130,11,74,87,0.021,0.116,0.655
9,-22,-116,102,17,16,70,-0.079,0.636,0.08
-102,36,83,58,-140,112,143,0.274,0.664,0.176
-45,56,85,71,167,41,113,-0.376,0.161,0.394
-34,34,136,112,-150,-74,-106,-0.541,0.329,-0.312
-21,-53,-107,44,95,-24,60,-0.199,0.775,-0.135
-122,32,-120,66,-39,47,118,-0.37,0.218,0.522
-46,-31,-89,-3,118,75,-94,0.009,0.396,0.343
12,53,-77,144,-42,54,72,-0.105,-0.692,0.04
-1,-30,51,92,169,22,61,-0.14,-0.473,0.213
-79,-110,52,90,146,-25,21,0.05,-0.248,-0.403
-127,-103,164,138,159,-68,-173,-0.646,0.149,-0.314
-137,-119,-7,51,-92,-52,-40,0.598,0.172,0.721
-41,5,172,83,-1,105,81,0.724,0.052,0.214
-103,-96,-158,120,-106,108,-127,0.018,0.633,0.816
42,10,-7,148,-126,-30,167,-0.552,-0.147,0.021
-23,-54,-134,28,-52,75,-87,-0.393,0.288,0.549
-109,-55,-100,71,-160,52,146,-0.58,-0.413,-0.119
-65,-50,50,49,61,0,84,0.155,0.24,1.027
-40,-48,-44,54,-155,17,-58,-0.56,-0.079,0.528
-16,-76,-59,34,-71,6,-19,0.427,-0.08,-0.022
-110,-46,-168,132,59,-40,26,0.56,0.12,-0.055
-32,-19,49,66,125,107,-2,-0.471,0.063,0.207
-70,11,163,46,150,-38,120,-0.216,-0.24,0.958
-131,10,-18,45,79,-66,112,-0.001,-0.353,-0.193
5,47,145,16,142,-57,-16,-0.26,-0.061,0.658
10,44,92,38,22,62,-121,-0.031,0.348,1.151
38,-41,54,139,141,-15,136,0.561,-0.311,0.278
-109,-59,-89,123,61,33,16,-0.59,0.026,0.193
-34,41,3,35,-106,85,-46,0.013,0.252,-0.152
-65,9,-88,32,-152,19,-78,-0.718,0.445,-0.281
13,-123,-52,101,57,-57,6,0.827,-0.563,-0.016
35,-112,2,126,78,81,89,-0.743,-0.536,0.757
-130,24,155,90,-154,-16,10,0.404,0.107,0.388
-82,-38,123,95,111,95,108,-0.495,0.103,1.062
-38,-30,-10,114,168,-68,52,0.937,-0.19,0.507
18,-105,-87,112,152,11,140,-0.172,-0.79,0.282
-95,-15,7,23,156,-75,-42,-0.367,-0.49,0.557
-124,56,-49,129,-147,3,-10,-0.186,0.095,0.411
-70,-116,154,2,31,-48,55,0.008,-0.151,-0.283
19,-111,-103,134,-97,8,141,0.646,-0.201,0.683
-117,-15,-143,-3,28,74,36,0.216,-0.008,0.605
-121,2,83,69,-78,82,166,-0.674,-0.802,0.164
-8,27,111,96,-155,65,-21,-0.348,-0.077,0.636
-54,16,63,119,13,112,53,0.378,0.711,-0.067
-63,38,73,148,75,-35,77,0.039,0.245,0.745
41,-122,9,102,-91,37,-156,-0.214,0.058,-0.499
-82,13,-92,109,17,33,-91,0.525,0.357,0.726
-46,-35,82,52,-164,-11,-21,-0.416,0.475,0.152
10,-24,-27,90,-33,-8,-51,-0.245,0.372,0.666
-128,6,-116,117,126,32,67,0.157,-0.538,0.538
-85,-44,92,39,94,-45,-28,0.354,0.277,1.036
36,-32,24,139,23,103,125,-0.027,0.263,0.916
-116,37,-40,81,-107,-74,-17,0.505,0.188,0.935
-35,-81,88,20,154,-79,-13,-0.608,0.228,0.544
-42,-88,132,120,-150,3,-20,0.003,0.402,0.731
9,57,-87,111,-7,-13,3,0.147,0.541,0.393
-117,-52,13,26,-173,108,50,0.689,-0.495,0.432
-133,58,-107,102,-74,83,40,-0.265,-0.546,-0.119
-108,-31,52,110,37,73,52,0.419,-0.252,0.406
-36,31,102,85,99,9,-17,-0.282,0.156,0.643
-91,24,-138,110,1,51,-21,-0.348,0.293,0.323
-70,10,-126,11,-171,92,159,-0.017,-0.295,0.064
34,-53,-13,55,53,-49,-82,-0.233,0.409,-0.066
-36,14,-72,93,155,117,-168,0.212,0.439,0.116
-58,5,-40,55,-133,20,37,0.096,0.706,0.333
-52,8,-153,128,170,104,-99,-0.088,-0.527,0.556
-125,-76,131,-3,19,-6,-110,0.006,-0.414,0.04
-19,3,-14,28,-146,-6,-78,0.54,-0.271,0.53
-40,-69,-140,38,-120,14,-149,-0.061,0.287,1.07
6,-118,-111,41,-141,5,21,0.05,-0.186,-0.033
-56,8,-109,80,-70,78,99,0.457,0.366,0.43
-1,-31,54,141,139,39,-62,0.205,0.254,0.274
-74,53,-76,71,23,-11,-119,0.787,-0.131,0.203
-127,-28,-62,29,165,48,91,-0.565,-0.071,0.256
-39,36,-143,114,-49,51,21,-0.075,0.824,0.074
-104,16,110,106,-6,27,147,0.303,0.578,-0.224
-34,53,117,138,-111,-43,-140,-0.539,0.559,-0.245
22,-121,-10,89,-101,-9,36,0.59,0.182,0.301
-55,-120,71,126,-9,71,93,0.162,-0.347,0.935
-33,-31,-135,42,44,38,-122,0.26,-0.69,0.425
49,58,117,101,170,-27,-167,0.138,-0.787,0.591
-97,28,-2,76,-167,61,108,-0.63,0.436,0.346
-50,11,-15,84,-41,-28,-2,0.092,-0.192,0.165
-4,28,13,73,11,8,5,0.474,0.271,0.388
13,-30,-110,24,73,-67,11,0.467,0.131,0.038
-132,33,-2,103,-4,-53,82,0.174,0.06,0.431
-90,19,128,64,-127,-28,-138,0.07,-0.059,0.943
-83,-22,137,52,-137,43,-89,-0.661,-0.476,0.428
-104,-50,-122,120,104,71,20,-0.208,0.201,1.059
2,39,-39,28,-123,5,-103,-0.088,-0.077,0.687
-24,56,-43,145,-9,70,46,-0.178,-0.275,1.163
-77,27,-98,56,71,-66,-106,-0.292,-0.647,0.411
-115,18,-162,132,-96,-81,-153,0.087,0.473,1.086
3,39,-115,125,-71,26,-165,-0.877,0.005,0.625
25,36,10,143,89,114,44,-0.596,0.229,0.554
-107,23,-8,72,-37,-43,44,0.304,-0.129,-0.039
-125,35,116,92,76,50,99,-0.479,-0.137,0.075
-19,-123,101,116,40,-29,38,-0.051,-0.014,0.207
-50,-37,-57,46,174,-36,-44,0.589,-0.397,0.651
38,-99,-117,70,122,-66,-54,0.436,0.25,0.608
-71,-98,63,4,-11,-66,38,-0.443,-0.324,0.242
-93,-90,-103,83,-43,-71,1,0.335,-0.386,-0.213
11,-81,-19,125,-138,-14,-146,-0.142,-0.113,1.008
-46,14,-27,73,-145,1,-52,0.116,-0.66,0.497
30,-79,51,138,160,72,98,-0.225,-0.515,-0.072
12,38,147,77,90,84,-170,-0.024,0.328,0.59
-27,38,-21,71,54,69,92,-0.101,0.544,0.746
1,-117,118,21,-22,-46,47,0.186,-0.017,0.538
-16,-59,-109,46,132,33,173,-0.279,0.316,-0.096
12,-42,56,33,160,-81,-93,-0.299,-0.814,0.053
-92,-79,-122,70,155,113,-121,-0.007,1.029,0.191
26,-63,69,89,152,-59,-142,0.386,-0.014,0.76
-135,-68,-52,56,-13,81,65,-0.87,-0.189,0.629
-25,-88,83,114,-24,-50,-44,0.152,0.566,1.054
-99,29,147,70,-155,59,-42,0.363,0.059,-0.227
-99,-35,-47,93,-86,32,32,0.45,-0.172,-0.322
-118,42,-1,97,-152,-5,70,0.651,0.031,0.188
-54,-67,-122,132,-82,37,158,-0.309,0.944,0.015
-61,56,85,133,-4,114,-59,0.501,-0.559,0.702
-138,-36,-87,69,88,-80,-139,0.876,-0.133,0.042
-137,42,-24,7,92,21,77,0.195,-0.689,0.182
-4,-9,95,31,-57,-9,87,0.471,0.279,0.189
46,-54,11,74,123,5,139,-0.004,0.482,-0.349
-138,-90,38,149,-49,43,8,0.141,-0.688,0.347
7,33,55,76,30,9,-40,0.647,0.28,0.488
-41,1,39,131,-158,72,133,-0.409,0.38,0.41
-13,21,56,55,-132,-59,-102,0.217,-0.422,0.511
29,-29,-149,114,-158,110,46,-0.602,0.044,-0.089
-114,54,-24,7,-74,94,-54,-0.719,0.32,-0.252
5,-94,-120,102,38,12,133,-0.395,-0.634,0.842
-58,-93,107,123,71,-14,-88,-0.423,-0.169,0.677
-62,-35,1,147,20,-54,-103,0.06,-0.171,0.228
-107,-26,160,59,14,-14,-25,-0.305,0.489,0.353
-60,-65,-61,139,159,-6,-71,0.723,0.059,-0.33
-124,-38,51,68,134,10,49,0.017,-0.143,0.932
-56,-113,11,148,-59,43,55,-0.331,0.09,0.264
-141,11,-135,84,8,96,-175,-0.074,0.068,-0.086
-122,14,115,140,119,-12,-127,-0.404,-0.631,-0.04
20,-12,-109,104,-142,-35,-24,-0.0,0.135,0.31
-12,-92,69,103,-170,-27,-71,0.3,-0.515,0.026
-5,-118,-39,1,-105,-1,5,0.677,0.21,0.827
-59,58,-37,66,86,60,-7,-0.231,-0.092,0.06
-14,-12,16,36,-50,50,-20,0.418,-0.629,0.403
-45,-91,-166,76,12,27,-25,-0.165,-0.584,-0.241
-108,13,-81,39,-113,-43,-132,0.327,-0.766,0.404
-87,58,-151,69,-40,-44,-10,0.847,0.588,0.575
-41,-21,148,17,-150,-40,-21,0.411,0.034,-0.093
-112,-60,74,44,-166,39,76,0.677,0.103,-0.324
0,19,160,75,-117,-32,97,0.254,0.057,1.235
15,-21,-125,54,-90,17,168,-0.05,0.226,0.34
-100,-19,-140,79,-134,117,-100,-0.012,0.003,0.27
-132,49,-150,17,-63,15,-97,-0.319,-0.308,0.686
-100,-74,131,34,75,59,-52,0.334,-0.078,0.718
-90,-75,58,55,147,114,-110,-0.564,0.094,0.538
-102,33,-41,6,19,92,-143,-0.082,-0.716,0.157
-93,31,151,86,29,37,35,0.245,-0.515,0.405
43,47,37,60,-118,89,-102,0.24,-0.307,0.425
-22,-38,70,45,-113,29,135,-0.105,0.012,0.975
-84,-12,-156,46,8,26,145,-0.199,-0.681,0.16
-129,-99,-53,12,-39,60,1,-0.504,0.236,0.15
-52,-40,-25,13,-98,116,2,-0.04,0.522,0.094
-30,-25,95,90,-126,32,84,0.164,0.73,0.389
-113,-110,114,145,-127,59,43,0.009,-0.613,-0.043
-139,-87,6,36,-5,96,-17,0.355,-0.047,0.821
13,-45,157,86,-121,110,102,0.102,-0.195,0.373
-75,-85,155,113,152,60,-142,0.559,-0.351,0.069
-3,-59,-92,56,80,101,-27,0.54,0.703,0.088
-87,36,77,125,-20,21,74,-0.114,-0.499,0.634
-26,-33,-97,75,29,55,-94,-0.697,0.134,0.613
-18,-30,-50,93,-91,-3,144,0.253,0.338,0.577
-101,27,151,28,169,42,-130,-0.124,-0.406,-0.048
-62,-76,-84,133,118,117,23,0.063,-0.383,0.843
-29,-17,-46,119,-120,6,155,-0.442,0.919,0.085
14,-109,113,28,108,-17,163,0.162,0.187,0.367
-8,-68,-47,95,-40,-61,-126,-0.228,-0.694,0.781
16,-100,-159,37,116,54,122,-0.515,0.001,0.773
-73,26,-3,105,148,68,21,-0.489,0.564,0.255
-56,28,118,17,95,-44,150,0.503,0.343,-0.163
-100,-38,97,109,92,89,71,-0.63,0.192,0.6
-27,-62,32,106,-101,-74,123,-0.469,-0.509,0.886
-123,41,-76,36,-60,81,126,-0.24,0.614,-0.204
14,-111,-103,74,-140,43,-72,0.253,0.338,-0.326
-35,20,-61,7,126,40,-145,-0.691,0.075,0.327
12,-119,-171,62,110,113,64,0.398,0.131,1.119
-130,-58,65,88,111,27,-173,0.398,-0.414,0.699
-33,-101,117,135,-70,45,-16,0.315,0.439,0.272
-35,45,120,144,67,59,157,-0.134,0.345,0.728
-120,49,83,27,-77,54,71,-0.256,0.466,0.395
17,-87,-108,135,48,-83,-115,0.04,0.186,0.377
24,-48,4,13,-12,-64,-31,-0.111,-0.96,0.093
-94,-77,-103,60,150,86,29,0.021,-0.116,-0.06
37,-109,-67,127,-150,3,39,-0.218,0.266,0.041
-3,-34,49,59,165,96,60,-0.229,0.136,0.498
31,-62,-3,31,17,13,27,0.767,-0.368,0.842
-108,-76,49,116,-112,-39,143,-0.555,0.166,0.306
-110,-39,-82,25,142,5,151,0.696,0.01,0.752
-24,42,-36,82,130,29,-151,0.238,-0.529,-0.011
-98,-17,30,127,-60,31,-39,0.17,0.741,0.728
-131,-29,-19,12,-69,43,101,0.842,0.331,0.249
-115,2,-158,1,70,-73,50,-0.548,0.074,0.343
-50,-12,109,31,-21,-61,-27,0.644,-0.059,0.672
-109,57,-164,85,160,-61,159,-0.256,0.129,0.224
-134,51,41,30,81,-32,132,-0.292,-0.726,0.303
-130,-21,-108,149,106,-15,26,0.161,0.168,0.035
47,44,20,10,145,-55,-152,-0.072,0.461,0.547
-96,-114,-84,30,-138,-3,169,0.106,0.459,0.493
-75,35,116,116,7,115,-45,-0.213,0.065,0.125
-83,-60,171,58,166,-10,14,0.034,-0.271,-0.248
28,-46,96,94,-131,-54,-77,0.574,0.075,-0.029
-59,-77,-21,111,0,78,30,0.321,0.418,0.153
46,50,-143,0,50,37,54,0.16,-0.107,1.205
-17,28,34,131,18,-75,0,0.725,0.128,-0.274
37,-75,150,45,61,50,155,0.084,-0.791,0.862
-102,30,-27,85,7,-19,-150,-0.09,0.069,-0.234
-25,-61,-51,129,132,-50,-143,0.055,-0.031,0.788
-52,52,-25,114,-144,62,-17,-0.764,-0.624,0.055
-88,-86,17,20,-23,53,-164,0.176,-0.462,0.479
-124,-98,86,31,-32,110,-116,0.185,0.529,0.001
-13,45,126,83,-35,16,83,0.434,-0.265,0.151
-141,-97,-64,45,14,119,-113,-0.226,0.918,0.288
46,-95,-140,79,60,35,126,-0.067,-0.046,0.32
-49,-122,-30,89,-156,63,-72,-0.028,-0.567,-0.438
-123,24,138,107,65,-84,-67,0.247,0.013,0.898
-132,-79,18,15,14,6,81,0.049,-0.498,0.721
-72,-25,139,81,159,64,-95,0.171,0.109,1.063
21,-55,40,124,-11,-55,51,0.329,0.537,0.28
-136,-96,-34,147,-88,-54,-127,0.217,-0.221,-0.03
-111,56,-136,121,-163,-55,-7,-0.361,-0.395,0.394
37,-85,-141,9,-31,72,75,0.122,-0.205,-0.136
-93,6,110,28,-124,37,93,-0.569,-0.03,0.34
8,-30,99,118,-78,81,-57,-0.336,0.798,0.39
-97,45,-69,24,168,5,-112,-0.183,-0.172,0.941
-8,-84,83,117,-15,28,84,0.014,0.081,0.329
42,-117,94,3,-39,-11,-117,-0.577,0.139,0.499
-80,-17,-109,149,23,71,114,-0.291,0.432,0.305
-120,-17,-75,66,-65,25,20,-0.428,-0.209,0.3
-77,25,80,117,59,39,-72,0.216,0.141,0.182
30,-37,6,145,-134,-61,15,-0.092,-0.481,0.97
-116,-51,137,136,141,-30,87,0.164,0.029,0.053
42,29,-140,88,-4,107,-29,-0.464,0.79,-0.07
11,-113,24,97,168,-70,114,-0.42,0.11,0.206
-2,-107,7,4,-82,79,-59,-0.28,-0.203,0.605
-68,-90,-167,97,-37,-32,-144,-0.422,-0.087,-0.153
-91,-19,-169,32,-75,-39,-89,-0.138,0.024,1.176
40,24,91,1,-78,-70,142,0.699,-0.339,0.072
28,-62,31,4,-16,35,53,-0.179,-0.1,0.604
-140,-12,-80,33,-123,-7,103,0.372,-0.716,0.414
43,-99,43,-1,133,74,-43,0.286,-0.598,0.779
-44,-8,-93,23,106,-76,98,0.153,-0.307,0.69
5,-92,-86,95,-140,9,-87,-0.264,-0.654,0.041
